rank_composite,name,organizer,category_slug,official_url,grade_band,region_scope,cost,participation,entry_pathway,likely_recurrence,search_volume_score,coverage_score,deadline_proximity_score,notes
4.8,Scholastic Art & Writing Awards (Art),Alliance for Young Artists & Writers,arts-music,https://www.artandwriting.org/awards,7-12,national,paid,individual,either,annual,5,5,4,Premier teen visual-art awards
4.8,AMC 10,Mathematical Association of America,math,https://maa.org/student-programs/amc,9-10,national,paid,individual,school_or_chapter,annual,5,5,4,Gateway to AIME; Nov
4.8,AMC 12,Mathematical Association of America,math,https://maa.org/student-programs/amc,11-12,national,paid,individual,school_or_chapter,annual,5,5,4,Gateway to AIME; Nov
4.8,MATHCOUNTS Competition Series,MATHCOUNTS Foundation,math,https://www.mathcounts.org/programs/mathcounts-competition-series,6-8,national,paid,both,school_or_chapter,annual,5,5,4,Middle-school math; school->chapter->state->national
4.8,FIRST Robotics Competition (FRC),FIRST,robotics,https://www.firstinspires.org/programs/frc/get-started,9-12,national,paid,team,school_or_chapter,annual,5,5,4,Flagship high-school build-season league
4.8,Scholastic Art & Writing Awards (Writing),Alliance for Young Artists & Writers,writing-essay,https://www.artandwriting.org/awards,7-12,national,paid,individual,either,annual,5,5,4,Premier teen creative-writing awards; regional deadlines
4.6,NSDA National Speech & Debate Tournament,National Speech & Debate Association,debate-speech,https://www.speechanddebate.org/nationals,6-12,national,paid,both,school_or_chapter,annual,5,5,3,Largest US academic speech/debate
4.6,AMC 8,Mathematical Association of America,math,https://maa.org/student-programs/amc,6-8,national,paid,individual,school_or_chapter,annual,5,5,3,"25-question middle-school exam, January"
4.6,Math Kangaroo,Math Kangaroo USA,math,https://mathkangaroo.org,1-12,national,paid,individual,either,annual,5,5,3,Global participation contest; March
4.6,Scripps National Spelling Bee,E.W. Scripps Company,other,https://spellingbee.com/rules,K-8,national,paid,individual,school_or_chapter,annual,5,5,3,Iconic national spelling championship
4.6,Regeneron International Science and Engineering Fair (ISEF),Society for Science,science-engineering,https://www.societyforscience.org/isef,9-12,national,free,both,school_or_chapter,annual,5,5,3,Premier pre-college research fair
4.6,Regeneron Science Talent Search (STS),Society for Science,science-engineering,https://www.societyforscience.org/regeneron-sts,12-12,national,free,individual,individual,annual,5,5,3,Senior research; top US science prize
4.6,Science Olympiad,"Science Olympiad, Inc.",science-engineering,https://www.soinc.org/play/tournaments,6-12,national,paid,team,school_or_chapter,annual,5,5,3,23-event team tournament series
4.3,Congressional App Challenge,U.S. House of Representatives,computer-science,https://www.congressionalappchallenge.us/students/rules,6-12,national,free,both,individual,annual,4,5,4,District-based app contest; fall deadline
4.3,CyberPatriot National Youth Cyber Defense Competition,Air & Space Forces Association,computer-science,https://www.uscyberpatriot.org,6-12,national,paid,team,school_or_chapter,annual,4,5,4,Network-defense competition; URL AUDIT: robots.txt disallows crawling - never extract; curate by hand or ask the organizer
4.3,USA Computing Olympiad (USACO),USACO,computer-science,https://usaco.org/index.php?page=contests,6-12,national,free,individual,individual,annual,4,5,4,Online competitive-programming contests
4.3,FIRST LEGO League Challenge,FIRST,robotics,https://www.firstinspires.org/programs/fll/get-started,4-8,national,paid,team,school_or_chapter,annual,4,5,4,LEGO robotics + research project
4.3,FIRST Tech Challenge (FTC),FIRST,robotics,https://www.firstinspires.org/programs/ftc/get-started,7-12,national,paid,team,school_or_chapter,annual,4,5,4,Mid-size robot league
4.3,VEX Robotics Competition (V5RC),REC Foundation,robotics,https://www.vexrobotics.com/competition,6-12,national,paid,team,school_or_chapter,annual,4,5,4,"Popular middle/high robot league; URL AUDIT: 403 bot-block, not a bad URL - manual entry"
