rank,name,category,verdict,requested_url,final_url,redirected_to_root,competition_signals,homepage_signals,problem
1,Scholastic Art & Writing Awards (Art),arts-music,PROGRAM,https://www.artandwriting.org/awards,https://www.artandwriting.org/awards/,,eligibility how-to-enter grade-band plausible-year,donate,
2,AMC 10,math,PROGRAM,https://maa.org/student-programs/amc,https://maa.org/student-programs/amc/,,registration deadline eligibility dates-block qualifying grade-band plausible-year,donate membership about-us,
3,MATHCOUNTS Competition Series,math,PROGRAM,https://www.mathcounts.org/programs/mathcounts-competition-series,https://www.mathcounts.org/programs/mathcounts-competition-series,,registration rules grade-band plausible-year,donate governance,
4,FIRST Robotics Competition (FRC),robotics,PROGRAM,https://www.firstinspires.org/programs/frc/get-started,https://www.firstinspires.org/programs/frc/get-started,,registration fee grade-band plausible-year,donate careers annual-report,
5,NSDA National Speech & Debate Tournament,debate-speech,PROGRAM,https://www.speechanddebate.org/nationals,https://www.speechanddebate.org/national-tournament-2026/,,registration how-to-enter qualifying grade-band plausible-year,donate membership newsroom,
6,Math Kangaroo,math,PROGRAM,https://mathkangaroo.org,https://mathkangaroo.org/mks/,,registration submission grade-band plausible-year,donate about-us newsroom,
7,Scripps National Spelling Bee,other,PROGRAM,https://spellingbee.com/rules,https://spellingbee.com/rules,,eligibility rules qualifying plausible-year,donate,
8,Regeneron International Science and Engineering Fair (ISEF),science-engineering,PROGRAM,https://www.societyforscience.org/isef,https://www.societyforscience.org/isef/,,registration rules grade-band plausible-year,donate about-us newsroom annual-report,
9,Regeneron Science Talent Search (STS),science-engineering,PROGRAM,https://www.societyforscience.org/regeneron-sts,https://www.societyforscience.org/regeneron-sts/,,deadline eligibility how-to-enter dates-block rules grade-band plausible-year,donate about-us newsroom annual-report,
10,Science Olympiad,science-engineering,PROGRAM,https://www.soinc.org/play/tournaments,https://www.soinc.org/play/tournaments,,registration rules qualifying plausible-year,donate careers,
11,Congressional App Challenge,computer-science,PROGRAM,https://www.congressionalappchallenge.us/students/rules,https://www.congressionalappchallenge.us/students/rules/,,registration deadline eligibility dates-block submission grade-band plausible-year,donate about-us careers,
12,CyberPatriot National Youth Cyber Defense Competition,computer-science,UNREACHABLE,https://www.uscyberpatriot.org,,,,,robots.txt disallows fetching https://www.uscyberpatriot.org/ for our user-agent
13,USA Computing Olympiad (USACO),computer-science,THIN,https://usaco.org/index.php?page=contests,https://usaco.org/index.php?page=contests,,registration plausible-year,about-us,
